"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"49607.7175844";"Altitude (GPS)";"0";"m";"46.3761566";"15.1406028";
"49607.7175844";"Altitude (GPS)";"463.5288133178614";"m";"46.3761566";"15.1406028";
"49607.7175844";"Speed (GPS)";"1.0799999356269836";"km/h";"46.3761566";"15.1406028";
"49607.9884543";"Calculated engine load value";"47.84313725490196";"%";"46.3761566";"15.1406028";
"49607.9884543";"Calculated instant fuel rate";"1.2338009049773755";"L/h";"46.3761566";"15.1406028";
"49607.9884543";"Instant engine power (based on fuel consumption)";"5.462931890054998";"hp";"46.3761566";"15.1406028";
"49607.9884543";"MAF air flow rate";"8.94";"g/sec";"46.3761566";"15.1406028";
"49607.9884543";"Power from MAF";"10.728";"hp";"46.3761566";"15.1406028";
"49607.9884543";"Vehicle acceleration";"-0";"g";"46.3761566";"15.1406028";
"49607.9884543";"Vehicle speed";"0";"km/h";"46.3761566";"15.1406028";
"49608.0640572";"Average fuel consumption (Today)";"10.201271603554952";"L/100km";"46.3761566";"15.1406028";
"49608.0640572";"Average fuel consumption (total)";"10.392276977004736";"L/100km";"46.3761566";"15.1406028";
"49608.0640572";"Average fuel consumption (Week)";"10.201271603554952";"L/100km";"46.3761566";"15.1406028";
"49608.0640572";"Average speed";"0";"km/h";"46.3761566";"15.1406028";
"49608.0640572";"Calculated engine load value";"48.627450980392155";"%";"46.3761566";"15.1406028";
"49608.0640572";"Calculated instant fuel rate";"1.207737556561086";"L/h";"46.3761566";"15.1406028";
"49608.0640572";"Distance travelled";"0";"km";"46.3761566";"15.1406028";
"49608.0640572";"Distance travelled (Today)";"76.341718";"km";"46.3761566";"15.1406028";
"49608.0640572";"Distance travelled (total)";"83.20182399999999";"km";"46.3761566";"15.1406028";
"49608.0640572";"Distance travelled (Week)";"76.341718";"km";"46.3761566";"15.1406028";
"49608.0640572";"Fuel used";"2.535634935520362E-05";"L";"46.3761566";"15.1406028";
"49608.0640572";"Fuel used (Today)";"7.787826";"L";"46.3761566";"15.1406028";
"49608.0640572";"Fuel used (total)";"8.646564";"L";"46.3761566";"15.1406028";
"49608.0640572";"Fuel used (Week)";"7.787826";"L";"46.3761566";"15.1406028";
"49608.0640572";"Fuel used price";"2.5609912848755656E-05";"$";"46.3761566";"15.1406028";
"49608.0640572";"Fuel used price (Today)";"7.865704259999999";"$";"46.3761566";"15.1406028";
"49608.0640572";"Fuel used price (total)";"8.73302964";"$";"46.3761566";"15.1406028";
"49608.0640572";"Fuel used price (Week)";"7.865704259999999";"$";"46.3761566";"15.1406028";
"49608.0640572";"Instant engine power (based on fuel consumption)";"5.347530534252317";"hp";"46.3761566";"15.1406028";
"49608.0640572";"MAF air flow rate";"8.61";"g/sec";"46.3761566";"15.1406028";
