"SECONDS";"PID";"VALUE";"UNITS";
"48630.6703759";"Calculated instant fuel rate";"0.4547480153884586";"L/h";
"48630.6703759";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"48630.6703759";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"48630.6703759";"Instant engine power (based on fuel consumption)";"1.7790642317370906";"hp";
"48630.6703759";"MAF air flow rate";"1.35";"g/sec";
"48630.6703759";"Power from MAF";"1.62";"hp";
"48630.6703759";"Throttle position";"18.03921568627451";"%";
"48630.6703759";"Vehicle acceleration";"-0";"g";
"48630.6703759";"Vehicle speed";"0";"km/h";
"48630.7825637";"Average fuel consumption (Today)";"4.695360622616261";"L/100km";
"48630.7825637";"Average fuel consumption (total)";"5.864920159592893";"L/100km";
"48630.7825637";"Average fuel consumption (Week)";"4.695360622616261";"L/100km";
"48630.7825637";"Average speed";"0";"km/h";
"48630.7825637";"Calculated instant fuel rate";"0.4614850230238432";"L/h";
"48630.7825637";"Distance travelled";"0";"km";
"48630.7825637";"Distance travelled (Today)";"4.549576";"km";
"48630.7825637";"Distance travelled (total)";"4.549576";"km";
"48630.7825637";"Distance travelled (Week)";"4.549576";"km";
"48630.7825637";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"48630.7825637";"Fuel used";"1.4280307923705558E-05";"L";
"48630.7825637";"Fuel used (Today)";"0.213619";"L";
"48630.7825637";"Fuel used (total)";"0.266829";"L";
"48630.7825637";"Fuel used (Week)";"0.213619";"L";
"48630.7825637";"Fuel used price";"2.356250807411417E-05";"€";
"48630.7825637";"Fuel used price (Today)";"0.35247134999999996";"€";
"48630.7825637";"Fuel used price (total)";"0.44026784999999996";"€";
"48630.7825637";"Fuel used price (Week)";"0.35247134999999996";"€";
"48630.7825637";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"48630.7825637";"Instant engine power (based on fuel consumption)";"1.8054207388739367";"hp";
"48630.7825637";"MAF air flow rate";"1.37";"g/sec";
"48630.7825637";"Power from MAF";"1.6440000000000001";"hp";
"48630.7825637";"Throttle position";"18.03921568627451";"%";
"48630.7825637";"Vehicle acceleration";"-0";"g";
"48630.7825637";"Vehicle speed";"0";"km/h";
"48630.8785504";"Average fuel consumption (Today)";"4.695624383459029";"L/100km";
"48630.8785504";"Average fuel consumption (total)";"5.865183920435663";"L/100km";
"48630.8785504";"Average fuel consumption (Week)";"4.695624383459029";"L/100km";
"48630.8785504";"Average speed";"0";"km/h";
