"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"44179.0599463";"Average speed";"0";"km/h";"46.3579208";"15.1084828";
"44179.0599463";"Calculated engine load value";"42.745098039215684";"%";"46.3579208";"15.1084828";
"44179.0599463";"Calculated instant fuel rate";"1.4142873303167423";"L/h";"46.3579208";"15.1084828";
"44179.0599463";"Distance travelled";"0";"km";"46.3579208";"15.1084828";
"44179.0599463";"Distance travelled (Today)";"25.910159999999998";"km";"46.3579208";"15.1084828";
"44179.0599463";"Distance travelled (total)";"32.770266";"km";"46.3579208";"15.1084828";
"44179.0599463";"Distance travelled (Week)";"25.910159999999998";"km";"46.3579208";"15.1084828";
"44179.0599463";"Fuel used";"0.0001321966598752514";"L";"46.3579208";"15.1084828";
"44179.0599463";"Fuel used (Today)";"3.0443000000000002";"L";"46.3579208";"15.1084828";
"44179.0599463";"Fuel used (total)";"3.903038";"L";"46.3579208";"15.1084828";
"44179.0599463";"Fuel used (Week)";"3.0443000000000002";"L";"46.3579208";"15.1084828";
"44179.0599463";"Fuel used price";"0.00013351862647400392";"$";"46.3579208";"15.1084828";
"44179.0599463";"Fuel used price (Today)";"3.0747430000000002";"$";"46.3579208";"15.1084828";
"44179.0599463";"Fuel used price (total)";"3.9420683800000003";"$";"46.3579208";"15.1084828";
"44179.0599463";"Fuel used price (Week)";"3.0747430000000002";"$";"46.3579208";"15.1084828";
"44179.0599463";"Instant engine power (based on fuel consumption)";"6.262076261509756";"hp";"46.3579208";"15.1084828";
"44179.0599463";"MAF air flow rate";"11.47";"g/sec";"46.3579208";"15.1084828";
"44179.0599463";"Power from MAF";"13.764000000000001";"hp";"46.3579208";"15.1084828";
"44179.0599463";"Vehicle acceleration";"-0";"g";"46.3579208";"15.1084828";
"44179.0599463";"Vehicle speed";"0";"km/h";"46.3579208";"15.1084828";
"44179.1364738";"Average fuel consumption (Today)";"11.749560790053017";"L/100km";"46.3579208";"15.1084828";
"44179.1364738";"Average fuel consumption (total)";"11.910394624199878";"L/100km";"46.3579208";"15.1084828";
"44179.1364738";"Average fuel consumption (Week)";"11.749560790053017";"L/100km";"46.3579208";"15.1084828";
"44179.1364738";"Average speed";"0";"km/h";"46.3579208";"15.1084828";
"44179.1364738";"Calculated engine load value";"42.745098039215684";"%";"46.3579208";"15.1084828";
"44179.1364738";"Calculated instant fuel rate";"1.4204524886877827";"L/h";"46.3579208";"15.1084828";
"44179.1364738";"Distance travelled";"0";"km";"46.3579208";"15.1084828";
"44179.1364738";"Distance travelled (Today)";"25.910159999999998";"km";"46.3579208";"15.1084828";
"44179.1364738";"Distance travelled (total)";"32.770266";"km";"46.3579208";"15.1084828";
"44179.1364738";"Distance travelled (Week)";"25.910159999999998";"km";"46.3579208";"15.1084828";
"44179.1364738";"Fuel used";"0.00016240676449063603";"L";"46.3579208";"15.1084828";
"44179.1364738";"Fuel used (Today)";"3.0443300000000004";"L";"46.3579208";"15.1084828";
"44179.1364738";"Fuel used (total)";"3.903068";"L";"46.3579208";"15.1084828";
"44179.1364738";"Fuel used (Week)";"3.0443300000000004";"L";"46.3579208";"15.1084828";
"44179.1364738";"Fuel used price";"0.0001640308321355424";"$";"46.3579208";"15.1084828";
"44179.1364738";"Fuel used price (Today)";"3.0747733000000004";"$";"46.3579208";"15.1084828";
"44179.1364738";"Fuel used price (total)";"3.94209868";"$";"46.3579208";"15.1084828";
"44179.1364738";"Fuel used price (Week)";"3.0747733000000004";"$";"46.3579208";"15.1084828";
"44179.1364738";"Instant engine power (based on fuel consumption)";"6.289373891246067";"hp";"46.3579208";"15.1084828";
"44179.1364738";"MAF air flow rate";"11.52";"g/sec";"46.3579208";"15.1084828";
"44179.1364738";"Power from MAF";"13.824";"hp";"46.3579208";"15.1084828";
"44179.1364738";"Vehicle acceleration";"0";"g";"46.3579208";"15.1084828";
"44179.1364738";"Vehicle speed";"0";"km/h";"46.3579208";"15.1084828";
"44179.2082569";"Average fuel consumption (Today)";"11.749668855769322";"L/100km";"46.3579208";"15.1084828";
"44179.2082569";"Average fuel consumption (total)";"11.91048006750998";"L/100km";"46.3579208";"15.1084828";
"44179.2082569";"Average fuel consumption (Week)";"11.749668855769322";"L/100km";"46.3579208";"15.1084828";
"44179.2082569";"Average speed";"0";"km/h";"46.3579208";"15.1084828";
"44179.2082569";"Calculated engine load value";"42.745098039215684";"%";"46.3579208";"15.1084828";
"44179.2082569";"Calculated instant fuel rate";"1.4105882352941177";"L/h";"46.3579208";"15.1084828";
"44179.2082569";"Distance travelled";"0";"km";"46.3579208";"15.1084828";
"44179.2082569";"Distance travelled (Today)";"25.910159999999998";"km";"46.3579208";"15.1084828";
"44179.2082569";"Distance travelled (total)";"32.770266";"km";"46.3579208";"15.1084828";
"44179.2082569";"Distance travelled (Week)";"25.910159999999998";"km";"46.3579208";"15.1084828";
"44179.2082569";"Fuel used";"0.0001905284082814857";"L";"46.3579208";"15.1084828";
"44179.2082569";"Fuel used (Today)";"3.0443580000000003";"L";"46.3579208";"15.1084828";
"44179.2082569";"Fuel used (total)";"3.903096";"L";"46.3579208";"15.1084828";
"44179.2082569";"Fuel used (Week)";"3.0443580000000003";"L";"46.3579208";"15.1084828";
"44179.2082569";"Fuel used price";"0.00019243369236430054";"$";"46.3579208";"15.1084828";
"44179.2082569";"Fuel used price (Today)";"3.07480158";"$";"46.3579208";"15.1084828";
"44179.2082569";"Fuel used price (total)";"3.9421269600000004";"$";"46.3579208";"15.1084828";
"44179.2082569";"Fuel used price (Week)";"3.07480158";"$";"46.3579208";"15.1084828";
"44179.2082569";"Instant engine power (based on fuel consumption)";"6.245697683667969";"hp";"46.3579208";"15.1084828";
"44179.2082569";"MAF air flow rate";"11.44";"g/sec";"46.3579208";"15.1084828";
"44179.2082569";"Power from MAF";"13.728";"hp";"46.3579208";"15.1084828";
"44179.2082569";"Vehicle acceleration";"0";"g";"46.3579208";"15.1084828";
"44179.2082569";"Vehicle speed";"0";"km/h";"46.3579208";"15.1084828";
"44179.3116259";"Average fuel consumption (Today)";"11.749823235364044";"L/100km";"46.3579208";"15.1084828";
"44179.3116259";"Average fuel consumption (total)";"11.910602129381557";"L/100km";"46.3579208";"15.1084828";
"44179.3116259";"Average fuel consumption (Week)";"11.749823235364044";"L/100km";"46.3579208";"15.1084828";
"44179.3116259";"Average speed";"0";"km/h";"46.3579208";"15.1084828";
"44179.3116259";"Calculated engine load value";"42.35294117647059";"%";"46.3579208";"15.1084828";
"44179.3116259";"Calculated instant fuel rate";"1.4049773755656108";"L/h";"46.3579208";"15.1084828";
"44179.3116259";"Distance travelled";"0";"km";"46.3579208";"15.1084828";
"44179.3116259";"Distance travelled (Today)";"25.910159999999998";"km";"46.3579208";"15.1084828";
"44179.3116259";"Distance travelled (total)";"32.770266";"km";"46.3579208";"15.1084828";
"44179.3116259";"Distance travelled (Week)";"25.910159999999998";"km";"46.3579208";"15.1084828";
"44179.3116259";"Fuel used";"0.0002308767046615762";"L";"46.3579208";"15.1084828";
"44179.3116259";"Fuel used (Today)";"3.044398";"L";"46.3579208";"15.1084828";
"44179.3116259";"Fuel used (total)";"3.903136";"L";"46.3579208";"15.1084828";
"44179.3116259";"Fuel used (Week)";"3.044398";"L";"46.3579208";"15.1084828";
"44179.3116259";"Fuel used price";"0.00023318547170819194";"$";"46.3579208";"15.1084828";
"44179.3116259";"Fuel used price (Today)";"3.07484198";"$";"46.3579208";"15.1084828";
