"SECONDS";"PID";"VALUE";"UNITS";
"58101.3006372";"Fuel used price (total)";"4.58297235";"€";
"58101.3006372";"Fuel used price (Week)";"3.6732679499999996";"€";
"58101.3006372";"Instant engine power (based on fuel consumption)";"3.7030892527268335";"hp";
"58101.3006372";"MAF air flow rate";"2.81";"g/sec";
"58101.3006372";"Power from MAF";"3.372";"hp";
"58101.3243726";"Average speed";"0";"km/h";
"58101.3243726";"Distance travelled";"0";"km";
"58101.3243726";"Distance travelled (Today)";"1.236815";"km";
"58101.3243726";"Distance travelled (total)";"42.66713500000001";"km";
"58101.3243726";"Distance travelled (Week)";"33.601524";"km";
"58101.3243726";"Vehicle acceleration";"0";"g";
"58101.3243726";"Vehicle speed";"0";"km/h";
"58101.3728036";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"58101.4331749";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"58101.4331749";"Throttle position";"20";"%";
"58101.4574604";"Average fuel consumption (Today)";"10.969385073758001";"L/100km";
"58101.4574604";"Average fuel consumption (total)";"6.509928543362472";"L/100km";
"58101.4574604";"Average fuel consumption (Week)";"6.625485201206945";"L/100km";
"58101.4574604";"Calculated instant fuel rate";"0.9499180765892244";"L/h";
"58101.4574604";"Fuel used";"0.0002857431921100709";"L";
"58101.4574604";"Fuel used (Today)";"0.135671";"L";
"58101.4574604";"Fuel used (total)";"2.7775999999999996";"L";
"58101.4574604";"Fuel used (Week)";"2.2262639999999996";"L";
"58101.4574604";"Fuel used price";"0.00047147626698161696";"€";
"58101.4574604";"Fuel used price (Today)";"0.22385714999999998";"€";
"58101.4574604";"Fuel used price (total)";"4.5830400000000004";"€";
"58101.4574604";"Fuel used price (Week)";"3.6733355999999993";"€";
"58101.4574604";"Instant engine power (based on fuel consumption)";"3.716267506295256";"hp";
"58101.4574604";"MAF air flow rate";"2.82";"g/sec";
"58101.4574604";"Power from MAF";"3.384";"hp";
"58101.4928427";"Average speed";"0";"km/h";
"58101.4928427";"Distance travelled";"0";"km";
"58101.4928427";"Distance travelled (Today)";"1.236815";"km";
"58101.4928427";"Distance travelled (total)";"42.66713500000001";"km";
"58101.4928427";"Distance travelled (Week)";"33.601524";"km";
"58101.4928427";"Vehicle acceleration";"0";"g";
"58101.4928427";"Vehicle speed";"0";"km/h";
"58101.5301491";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"58101.5931308";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"58101.5931308";"Throttle position";"20";"%";
"58101.6276802";"Average fuel consumption (Today)";"10.973023451364998";"L/100km";
"58101.6276802";"Average fuel consumption (total)";"6.5100340109548";"L/100km";
"58101.6276802";"Average fuel consumption (Week)";"6.625619123704031";"L/100km";
"58101.6276802";"Calculated instant fuel rate";"0.9465495727715323";"L/h";
"58101.6276802";"Fuel used";"0.00033048496024627255";"L";
"58101.6276802";"Fuel used (Today)";"0.135716";"L";
"58101.6276802";"Fuel used (total)";"2.7776449999999997";"L";
"58101.6276802";"Fuel used (Week)";"2.2263089999999996";"L";
"58101.6276802";"Fuel used price";"0.0005453001844063496";"€";
"58101.6276802";"Fuel used price (Today)";"0.22393139999999997";"€";
"58101.6276802";"Fuel used price (total)";"4.58311425";"€";
"58101.6276802";"Fuel used price (Week)";"3.6734098499999996";"€";
"58101.6276802";"Instant engine power (based on fuel consumption)";"3.7030892527268335";"hp";
"58101.6276802";"MAF air flow rate";"2.81";"g/sec";
"58101.6276802";"Power from MAF";"3.372";"hp";
"58101.6523231";"Average speed";"0";"km/h";
"58101.6523231";"Distance travelled";"0";"km";
"58101.6523231";"Distance travelled (Today)";"1.236815";"km";
"58101.6523231";"Distance travelled (total)";"42.66713500000001";"km";
"58101.6523231";"Distance travelled (Week)";"33.601524";"km";
"58101.6523231";"Vehicle acceleration";"0";"g";
"58101.6523231";"Vehicle speed";"0";"km/h";
"58101.68864";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"58101.7718056";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"58101.7718056";"Throttle position";"20";"%";
"58101.8927408";"Average fuel consumption (Today)";"10.978440591357643";"L/100km";
"58101.8927408";"Average fuel consumption (total)";"6.510191040481155";"L/100km";
"58101.8927408";"Average fuel consumption (Week)";"6.625818519421916";"L/100km";
"58101.8927408";"Calculated instant fuel rate";"0.9128645345946094";"L/h";
"58101.8927408";"Fuel used";"0.00039770822850177505";"L";
"58101.8927408";"Fuel used (Today)";"0.13578300000000001";"L";
"58101.8927408";"Fuel used (total)";"2.7777119999999997";"L";
"58101.8927408";"Fuel used (Week)";"2.2263759999999997";"L";
"58101.8927408";"Fuel used price";"0.0006562185770279288";"€";
"58101.8927408";"Fuel used price (Today)";"0.22404194999999996";"€";
"58101.8927408";"Fuel used price (total)";"4.5832248";"€";
"58101.8927408";"Fuel used price (Week)";"3.6735203999999997";"€";
"58101.8927408";"Instant engine power (based on fuel consumption)";"3.571306717042604";"hp";
"58101.8927408";"MAF air flow rate";"2.71";"g/sec";
"58101.8927408";"Power from MAF";"3.252";"hp";
"58102.0001063";"Average speed";"0";"km/h";
"58102.0001063";"Distance travelled";"0";"km";
"58102.0001063";"Distance travelled (Today)";"1.236815";"km";
"58102.0001063";"Distance travelled (total)";"42.66713500000001";"km";
"58102.0001063";"Distance travelled (Week)";"33.601524";"km";
"58102.0001063";"Vehicle acceleration";"0";"g";
"58102.0001063";"Vehicle speed";"0";"km/h";
"58102.065382";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"58102.136483";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"58102.136483";"Throttle position";"20";"%";
"58102.1611095";"Average fuel consumption (Today)";"10.984181142693126";"L/100km";
"58102.1611095";"Average fuel consumption (total)";"6.510357444904607";"L/100km";
"58102.1611095";"Average fuel consumption (Week)";"6.626029819361764";"L/100km";
"58102.1611095";"Calculated instant fuel rate";"0.9566550842246091";"L/h";
"58102.1611095";"Fuel used";"0.0004690117977131431";"L";
"58102.1611095";"Fuel used (Today)";"0.135854";"L";
"58102.1611095";"Fuel used (total)";"2.777783";"L";
"58102.1611095";"Fuel used (Week)";"2.226447";"L";
"58102.1611095";"Fuel used price";"0.0007738694662266861";"€";
"58102.1611095";"Fuel used price (Today)";"0.22415909999999997";"€";
"58102.1611095";"Fuel used price (total)";"4.58334195";"€";
"58102.1611095";"Fuel used price (Week)";"3.6736375499999996";"€";
"58102.1611095";"Instant engine power (based on fuel consumption)";"3.742624013432102";"hp";
"58102.1611095";"MAF air flow rate";"2.84";"g/sec";
"58102.1611095";"Power from MAF";"3.408";"hp";
"58102.1962878";"Average speed";"0";"km/h";
"58102.1962878";"Distance travelled";"0";"km";
"58102.1962878";"Distance travelled (Today)";"1.236815";"km";
"58102.1962878";"Distance travelled (total)";"42.66713500000001";"km";
"58102.1962878";"Distance travelled (Week)";"33.601524";"km";
"58102.1962878";"Vehicle acceleration";"0";"g";
"58102.1962878";"Vehicle speed";"0";"km/h";
"58102.2333337";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"58102.3207123";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"58102.3207123";"Throttle position";"20";"%";
"58102.3683389";"Average fuel consumption (Today)";"10.988547195821525";"L/100km";
"58102.3683389";"Average fuel consumption (total)";"6.5104840060154014";"L/100km";
"58102.3683389";"Average fuel consumption (Week)";"6.626190526358268";"L/100km";
"58102.3683389";"Calculated instant fuel rate";"0.9398125651361477";"L/h";
"58102.3683389";"Fuel used";"0.0005231094974347467";"L";
"58102.3683389";"Fuel used (Today)";"0.135908";"L";
"58102.3683389";"Fuel used (total)";"2.777837";"L";
"58102.3683389";"Fuel used (Week)";"2.226501";"L";
"58102.3683389";"Fuel used price";"0.000863130670767332";"€";
"58102.3683389";"Fuel used price (Today)";"0.22424819999999998";"€";
"58102.3683389";"Fuel used price (total)";"4.583431050000001";"€";
"58102.3683389";"Fuel used price (Week)";"3.6737266499999994";"€";
"58102.3683389";"Instant engine power (based on fuel consumption)";"3.6767327455899883";"hp";
"58102.3683389";"MAF air flow rate";"2.79";"g/sec";
"58102.3683389";"Power from MAF";"3.348";"hp";
"58102.4055557";"Average speed";"0";"km/h";
"58102.4055557";"Distance travelled";"0";"km";
"58102.4055557";"Distance travelled (Today)";"1.236815";"km";
"58102.4055557";"Distance travelled (total)";"42.66713500000001";"km";
"58102.4055557";"Distance travelled (Week)";"33.601524";"km";
"58102.4055557";"Vehicle acceleration";"0";"g";
"58102.4055557";"Vehicle speed";"0";"km/h";
"58102.4395473";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"58102.5006066";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"58102.5006066";"Throttle position";"20";"%";
"58102.536888";"Average fuel consumption (Today)";"10.992104720592815";"L/100km";
"58102.536888";"Average fuel consumption (total)";"6.510587129883455";"L/100km";
"58102.536888";"Average fuel consumption (Week)";"6.626321472799865";"L/100km";
"58102.536888";"Calculated instant fuel rate";"0.9398125651361477";"L/h";
"58102.536888";"Fuel used";"0.0005671166645976249";"L";
"58102.536888";"Fuel used (Today)";"0.13595200000000002";"L";
"58102.536888";"Fuel used (total)";"2.777881";"L";
"58102.536888";"Fuel used (Week)";"2.2265449999999998";"L";
"58102.536888";"Fuel used price";"0.000935742496586081";"€";
"58102.536888";"Fuel used price (Today)";"0.22432079999999996";"€";
"58102.536888";"Fuel used price (total)";"4.58350365";"€";
"58102.536888";"Fuel used price (Week)";"3.6737992499999996";"€";
"58102.536888";"Instant engine power (based on fuel consumption)";"3.6767327455899883";"hp";
